entry_id,initiative,primary_category,tags,urgency,missing_fields,action_needed
WL-001,Regulatory Reporting Remediation,Risk,risk; risk missing mitigation,Medium,mitigation,Add mitigation owner and response plan; confirm whether risk should enter RAID log.
WL-002,Data Platform Stabilization,Stale update,project-plan update; weak green status; stale update; weak signal,Medium,,Challenge repeated status; request current milestone evidence.
WL-003,Customer Portal Modernization,Executive air-support request,blocker; dependency; executive air-support request,High,,Prepare concise executive air-support brief; confirm requested executive action and decision owner.
WL-004,Field Operations Workflow Automation,Follow-up required,follow-up required; dependency; overdue or aging action; weak signal,High,,Send targeted follow-up to Jordan Kim; confirm next step and due date.
WL-005,Regulatory Reporting Remediation,Decision needed,decision needed; weak signal,Medium,,"Document options, tradeoffs, decision owner, and needed-by date before governance review."
WL-006,Portfolio Governance,Scheduling / rescheduling need,scheduling / rescheduling need; overdue or aging action,High,,"Confirm attendee availability, pre-read timing, and revised calendar details."
WL-007,Field Operations Workflow Automation,Risk,risk,Medium,due_date,Add mitigation owner and response plan; confirm whether risk should enter RAID log.
WL-008,Data Platform Stabilization,Project-plan update,follow-up required; dependency; project-plan update; overdue or aging action,High,,Confirm date or milestone change with owner before updating project plan.
WL-009,Customer Portal Modernization,Executive air-support request,executive air-support request; escalation candidate,High,,Prepare concise executive air-support brief; confirm requested executive action and decision owner.
WL-010,Regulatory Reporting Remediation,Missing status,missing status,High,owner,"Request missing update and confirm owner, due date, and impact on upcoming decision."
WL-011,Field Operations Workflow Automation,Blocker,follow-up required; blocker; overdue or aging action,High,,"Confirm dependency owner, impact, mitigation path, and whether escalation is needed."
WL-012,Customer Portal Modernization,Carry-forward item,dependency; carry-forward item; overdue or aging action,High,,Carry into next governance agenda unless resolved before meeting.
WL-013,Data Platform Stabilization,Weak signal,weak green status; overdue or aging action; weak signal,High,,"Request evidence, milestone status, or clarification before using in executive summary."
WL-014,Regulatory Reporting Remediation,Decision needed,decision needed; decision options unclear,Medium,options/tradeoffs,"Document options, tradeoffs, decision owner, and needed-by date before governance review."
WL-015,Field Operations Workflow Automation,Action item,action item; dependency; weak signal,Low,due_date,Add or update action register entry for Jordan Kim; confirm due date if missing.
WL-016,Customer Portal Modernization,Blocker,blocker; dependency,High,,"Confirm dependency owner, impact, mitigation path, and whether escalation is needed."
WL-017,Portfolio Governance,Decision needed,decision needed; decision options unclear,Medium,options/tradeoffs,"Document options, tradeoffs, decision owner, and needed-by date before governance review."
WL-018,Regulatory Reporting Remediation,Follow-up required,follow-up required; overdue or aging action,High,owner,Send targeted follow-up to accountable owner; confirm next step and due date.
WL-019,Data Platform Stabilization,Escalation candidate,dependency; escalation candidate,Medium,,Confirm whether peer-level resolution is blocked and define the executive ask if needed.
WL-020,Field Operations Workflow Automation,Missing status,missing status,High,,"Request missing update and confirm owner, due date, and impact on upcoming decision."
WL-021,Customer Portal Modernization,Executive air-support request,decision needed; decision options unclear; dependency; executive air-support request,High,options/tradeoffs,Prepare concise executive air-support brief; confirm requested executive action and decision owner.
WL-022,Regulatory Reporting Remediation,Decision needed,decision needed; decision options unclear,Medium,owner; options/tradeoffs,"Document options, tradeoffs, decision owner, and needed-by date before governance review."
