entry_id,date,source,initiative,raw_note,reported_by,owner,due_date,status,prior_period_note
WL-001,2026-05-18,standup note,Regulatory Reporting Remediation,Sponsor asked for deadline confidence for the June compliance checkpoint; wants a concise view of scope deferral risk by Thursday.,Morgan Lee,Riley Chen,2026-05-21,Yellow,
WL-002,2026-05-18,chat,Data Platform Stabilization,"Owner reported green again with same wording as last week: 'on track, no concerns.' No milestone evidence or defect trend attached.",Priya Shah,Priya Shah,2026-05-20,Green,"on track, no concerns"
WL-003,2026-05-18,meeting,Customer Portal Modernization,Portal integration remains blocked by Data Platform API readiness. Data Platform team says prioritization conflict with stabilization work is unresolved.,Alex Rivera,Priya Shah,2026-05-22,Red,
WL-004,2026-05-18,email,Field Operations Workflow Automation,Jordan missed the change champion update for the second week. Adoption readiness is unknown for two regions.,Taylor Brooks,Jordan Kim,2026-05-17,Yellow,
WL-005,2026-05-19,meeting,Regulatory Reporting Remediation,"Decision needed on whether to defer two low-volume report variants, but options and tradeoffs are not yet written down.",Riley Chen,Morgan Lee,2026-05-22,Yellow,
WL-006,2026-05-19,calendar note,Portfolio Governance,Thursday governance session moved to Friday because two sponsors are unavailable. Need revised pre-read timing and attendee confirmation.,Casey Morgan,Casey Morgan,2026-05-20,N/A,
WL-007,2026-05-19,risk note,Field Operations Workflow Automation,Risk: frontline supervisors may resist workflow change after pilot. No mitigation plan documented yet.,Jordan Kim,Jordan Kim,,Yellow,
WL-008,2026-05-19,project plan note,Data Platform Stabilization,API readiness milestone appears to move from May 24 to May 31. Needs owner confirmation before plan update.,Priya Shah,Priya Shah,2026-05-20,Yellow,
WL-009,2026-05-20,meeting,Customer Portal Modernization,Executive air support may be needed to resolve priority conflict between Portal integration and Data Platform stabilization. Alex and Priya have not aligned after two working sessions.,Alex Rivera,Morgan Lee,2026-05-22,Red,
WL-010,2026-05-20,status request,Regulatory Reporting Remediation,No status received from data validation lead by cutoff. This is a required input for compliance checkpoint confidence.,Riley Chen,,2026-05-20,Missing,
WL-011,2026-05-20,action note,Field Operations Workflow Automation,Schedule a follow-up meeting with regional operations and change champions to confirm adoption blockers before next governance cycle.,Taylor Brooks,Casey Morgan,2026-05-23,Yellow,
WL-012,2026-05-20,carry-forward,Customer Portal Modernization,Carry-forward from prior meeting: confirm whether Portal beta date depends on Data Platform API readiness or can proceed with mock service path.,Casey Morgan,Alex Rivera,2026-05-22,Yellow,
WL-013,2026-05-21,stakeholder update,Data Platform Stabilization,Defect burn-down chart not attached. Owner says team is still green but cannot confirm two integration defects are closed.,Priya Shah,Priya Shah,2026-05-22,Green,
WL-014,2026-05-21,meeting note,Regulatory Reporting Remediation,"Compliance sponsor asked for a one-page pre-read showing deadline confidence, unresolved validation input, and deferral decision path.",Morgan Lee,Casey Morgan,2026-05-22,Yellow,
WL-015,2026-05-21,chat,Field Operations Workflow Automation,Action: Jordan to provide champion roster and region readiness status. Due date not stated in chat thread.,Taylor Brooks,Jordan Kim,,Yellow,
WL-016,2026-05-21,dependency note,Customer Portal Modernization,"Design QA can continue, but integration test start is blocked until Data Platform API readiness is confirmed.",Alex Rivera,Priya Shah,2026-05-24,Red,
WL-017,2026-05-22,meeting note,Portfolio Governance,Need to add decision list to Friday agenda and cut routine status to exception-only because agenda is overloaded.,Casey Morgan,Casey Morgan,2026-05-22,N/A,
WL-018,2026-05-22,email,Regulatory Reporting Remediation,Data validation lead sent partial numbers but did not confirm reconciliation owner for the exception file.,Sam Patel,,2026-05-23,Yellow,
WL-019,2026-05-22,meeting note,Data Platform Stabilization,Priya requested help from architecture lead to validate whether stabilization work can run in parallel with Portal API readiness.,Priya Shah,Noah Grant,2026-05-24,Yellow,
WL-020,2026-05-22,status note,Field Operations Workflow Automation,"Pilot training materials updated, but field supervisor signoff is still missing for Northwest region.",Jordan Kim,Taylor Brooks,2026-05-24,Yellow,
WL-021,2026-05-22,meeting note,Customer Portal Modernization,Alex wants a sponsor decision by Tuesday on whether to hold beta date or split beta scope if API readiness slips.,Alex Rivera,Morgan Lee,2026-05-26,Red,
WL-022,2026-05-22,note,Regulatory Reporting Remediation,Scope deferral decision remains open; no decision owner explicitly accepted it in today’s notes.,Casey Morgan,,2026-05-24,Yellow,
